Τελευταία Ενημέρωση;Τρίτη, 22 Ιουλίου 2014 16:05;;;;;;
Κωδικός;Περιγραφή;Τιμή;Last Import;Barcode;Κατηγορία;Συν. Διαθέσιμο Απόθεμα;Συνολικό Απόθεμα
106600;ΕΣΑΡΠΑ 106600 ΠΡΑΣΙΝΗ ΣΚ.ΒΙΣΚΟ;21,00;26/05/2011;5205103033190;ΑΞΕΣΟΥΑΡ;9;9
106801;ΓΑΝΤΙΑ 106801 ΩΧΡΑ ΑΚΡΥΛΙΚΑ;7,20;05/03/2013;5205103035200;ΑΞΕΣΟΥΑΡ;3;3
107159;ΚΑΠΕΛΟ 107159 ΠΡΑΣΙΝΟ ΓΡΑΜΜΕΣ;25,20;11/03/2013;5205103038805;ΑΞΕΣΟΥΑΡ;4;4
107160;ΚΑΠΕΛΟ 107160 ΚΑΜΕΛ ΓΡΑΜΜΕΣ;25,20;11/03/2013;5205103038812;ΑΞΕΣΟΥΑΡ;5;5
107185;ΚΑΣΚΩΛ 107185 ΚΑΦΕ;24,90;01/05/2013;5205103039062;ΑΞΕΣΟΥΑΡ;5;5
107194;ΚΟΥΚΟΥΛΑ 107194 ΜΠΛΕ-ΓΚΡΙ;16,20;11/03/2013;5205103039154;ΑΞΕΣΟΥΑΡ;3;3
107195;ΚΟΥΚΟΥΛΑ 107195 ΚΑΜΕΛ;16,20;11/03/2013;5205103039161;ΑΞΕΣΟΥΑΡ;4;4
107339;ΓΑΝΤΙΑ 107339 ΓΚΡΙ;10,20;05/03/2013;5205103040600;ΑΞΕΣΟΥΑΡ;2;2
107688;ΣΚΙΑ 107688 ANGEL SPARKLE;5,95;02/10/2009;5205103044134;ΚΑΛΛΥΝΤΙΚΑ;352;352
107689;ΣΚΙΑ 107689 BUTERRFLY SPA;5,95;03/01/2009;5205103044141;ΚΑΛΛΥΝΤΙΚΑ;171;171
107690;ΣΚΙΑ 107690 BRONZE SPARKLE;5,95;05/11/2012;5205103044158;ΚΑΛΛΥΝΤΙΚΑ;403;404
107691;ΣΚΙΑ 107691 MYSTIC SPARKLE;5,95;07/05/2009;5205103044165;ΚΑΛΛΥΝΤΙΚΑ;295;304
110098;ΒΡΑΧΙΟΛΙ 110098 ΜΑΥΡΟ/ΜΠΕΖ ΚΟΚΑΛΙΝΟ;11,76;13/11/2013;5205103050302;ΜΠΙΖΟΥ;26;26
110295;ΣΚΙΑ ΜΟΝΗ 110295 TROPICAL LEAF;5,95;05/11/2012;5205103051620;ΚΑΛΛΥΝΤΙΚΑ;374;374
110296;ΣΚΙΑ ΜΟΝΗ 110296 FUNKY FUSHIA;5,95;;5205103051637;ΚΑΛΛΥΝΤΙΚΑ;-1;0
110297;ΛΙΠ-ΓΚΛΟΣ 110297 JUICY KISS5ml;5,45;03/11/2012;5205103051644;ΚΑΛΛΥΝΤΙΚΑ;293;293
110297t;TESTER 110297t LIPGLOSS JUICY KISS NO109;0,01;06/07/2010;5205103243001;TESTERS;13;13
110384;ΔΑΧΤΥΛΙΔΙ 110384;8,98;17/11/2011;5205103052412;ΜΠΙΖΟΥ;2;2
110553;ΚΛΑΜΕΡ 110553;2,50;04/01/2013;5205103053839;ΑΞΕΣΟΥΑΡ ΜΑΛΛΙΩΝ;1;1
110810;ΜΠΑΝΤΑΝΑ 110810 ΠΟΡΤΟΚΑΛΙ-ΚΙΤΡ;3,45;09/05/2012;5205103056373;ΑΞΕΣΟΥΑΡ ΜΑΛΛΙΩΝ;2;2
111088;ΣΑΚΙΔΙΟ 111088 ΜΑΥΡΟ;9,90;19/11/2013;5205103058865;ΑΞΕΣΟΥΑΡ;8;8
112248;ΦΟΥΛΑΡΙ 112248 ΤΕΤΡΑΓΩΝΟ KOKKINO;11,90;19/11/2013;5205103068994;ΑΞΕΣΟΥΑΡ;13;13
112251;ΦΟΥΛΑΡΙ 112251 ΤΕΤΡΑΓΩΝΟ ΜΠΛΕ;13,90;19/11/2013;5205103069021;ΑΞΕΣΟΥΑΡ;13;13
112756;ΓΑΝΤΙ 112756 ΑΣΠΡΟ ΔΕΡΜΑΤΙΝΟ;38,00;16/04/2013;5205103073264;ΑΞΕΣΟΥΑΡ;1;1
112986;ΚΛΑΜΕΡ 112986;1,00;04/01/2013;5205103075350;ΑΞΕΣΟΥΑΡ ΜΑΛΛΙΩΝ;1;1
113038;ΜΠΑΡΕΤΑ 113038;3,26;22/10/2013;5205103075879;ΑΞΕΣΟΥΑΡ ΜΑΛΛΙΩΝ;1;1
113058;ΚΛΑΜΕΡ 113058;0,93;22/10/2013;5205103076074;ΑΞΕΣΟΥΑΡ ΜΑΛΛΙΩΝ;1;1
113199;ΣΚΙΑ 113199 COSMIC SPARKLE;5,95;26/11/2010;5205103077125;ΚΑΛΛΥΝΤΙΚΑ;128;128
113203t;TESTER 113203t LIPGLOSS MOODY PINK NO110;0,01;11/02/2009;5205103243018;TESTERS;10;10
113204;ΣΚΙΑ 113204 MΟΝΗ GREEN SEA;5,95;20/07/2009;5205103077170;ΚΑΛΛΥΝΤΙΚΑ;174;174
113205;ΣΚΙΑ 113205 ΜΟΝΗ SWEET LILAC;5,95;05/10/2012;5205103077187;ΚΑΛΛΥΝΤΙΚΑ;6;6
113205t;TESTER 113205t ΣΚΙΑ ΜΟΝΗ 21;0,01;08/10/2012;5205103236423;TESTERS;5;5
113206;ΣΚΙΑ 113206 METALLIC VIOLIN;5,95;20/07/2009;5205103077194;ΚΑΛΛΥΝΤΙΚΑ;200;202
113890;GLITTER 113890 DIAMOND;5,95;31/12/2008;5205103083065;ΚΑΛΛΥΝΤΙΚΑ;120;120
113890t;TESTER 113890t GLITTER DIAMOND NO010;0,01;20/12/2008;5205103243650;TESTERS;2;2
113894;ΜΟΛΥΒΙ 113894 ΜΑΤΙΩΝ ΠΕΤΡΟΛ;3,45;07/11/2012;5205103083102;ΚΑΛΛΥΝΤΙΚΑ;621;621
113895;ΜΟΛΥΒΙ 113895 ΜΑΤΙΩΝ ΜΠΟΡΝΤΩ-ΜΜΩΒ;3,45;07/02/2011;5205103083119;ΚΑΛΛΥΝΤΙΚΑ;1118;1118
113896;ΜΟΛΥΒΙ 113896 ΜΑΤΙΩΝ ΠΡΑΣΙΝΟ;3,45;21/12/2009;5205103083126;ΚΑΛΛΥΝΤΙΚΑ;157;160
